date,price,bedrooms,bathrooms,area_living_m2,area_lot_m2,floors,waterfront,condition,area_above_m2,area_basement_m2,yr_built,yr_renovated,city,country
2014-05-02,313000.0,3.0,1.5,124.49002,735.048536,1.5,0,3,124.49002,0.0,1955,2005,Shoreline,USA
2014-05-02,2384000.0,5.0,2.5,339.09595,840.77215,2.0,0,5,313.08311,26.01284,1921,1921,Seattle,USA
2014-05-02,342000.0,3.0,2.0,179.30279,1109.912141,1.0,0,4,179.30279,0.0,1966,1966,Kent,USA
2014-05-02,420000.0,3.0,2.25,185.806,746.01109,1.0,0,4,92.903,92.903,1963,1963,Bellevue,USA
2014-05-02,550000.0,4.0,2.5,180.23182,975.4815,1.0,0,4,105.90942,74.3224,1976,1992,Redmond,USA
2014-05-02,490000.0,2.0,1.0,81.75464,592.72114,1.0,0,3,81.75464,0.0,1938,1994,Seattle,USA
2014-05-02,335000.0,2.0,2.0,125.41905,237.83168,1.0,0,3,125.41905,0.0,1976,1976,Redmond,USA
2014-05-02,482000.0,4.0,2.5,251.76713,3332.244804,2.0,0,3,251.76713,0.0,1989,1989,Maple Valley,USA
2014-05-02,452500.0,3.0,2.5,225.75429,8215.040678,1.0,0,4,145.85771,79.89658,1985,1985,North Bend,USA
2014-05-02,640000.0,4.0,2.0,141.21256,575.9986,1.5,0,3,141.21256,0.0,1945,2010,Seattle,USA
2014-05-02,463000.0,3.0,1.75,158.86413,680.0499599999999,1.0,0,3,158.86413,0.0,1948,1994,Lake Forest Park,USA
2014-05-02,1400000.0,4.0,2.5,271.27676,371.612,1.5,0,5,177.44473,93.83203,1909,1988,Seattle,USA
2014-05-02,588500.0,3.0,1.75,216.46399,1383.511476,1.0,0,3,183.01891,33.44508,1980,1980,Sammamish,USA
2014-05-02,365000.0,3.0,1.0,101.26427,597.8308049999999,1.0,0,4,101.26427,0.0,1955,2009,Seattle,USA
2014-05-02,1200000.0,5.0,2.75,270.34773,880.7204399999999,1.5,0,3,270.34773,0.0,1939,1969,Seattle,USA
2014-05-02,242500.0,3.0,1.5,111.4836,903.01716,1.0,0,4,111.4836,0.0,1965,1965,Kent,USA
2014-05-02,419000.0,3.0,1.5,145.85771,622.4501,1.0,0,4,145.85771,0.0,1956,1956,Bellevue,USA
2014-05-02,367500.0,4.0,3.0,288.92833,671.781593,2.0,0,3,288.92833,0.0,1997,1997,Auburn,USA
2014-05-02,257950.0,3.0,1.75,127.27711,544.225774,1.0,0,3,127.27711,0.0,1987,2000,Des Moines,USA
2014-05-02,275000.0,3.0,1.5,109.62554,954.764131,1.0,0,3,109.62554,0.0,1983,2009,North Bend,USA
2014-05-02,750000.0,3.0,1.75,208.10272,982.727934,2.0,0,5,143.99965,64.10307,1923,1923,Seattle,USA
2014-05-02,435000.0,4.0,1.0,134.70935,817.5464,1.0,0,4,134.70935,0.0,1954,1979,Bellevue,USA
2014-05-02,626000.0,3.0,2.25,162.58025,146.043516,2.5,0,3,136.56741,26.01284,2005,2005,Seattle,USA
2014-05-02,612500.0,4.0,2.5,253.62519,1139.083683,2.0,0,3,253.62519,0.0,1991,1991,Bothell,USA
2014-05-02,495000.0,4.0,1.75,148.6448,592.72114,1.0,0,3,104.98039,43.66441,1959,1989,Seattle,USA
2014-05-02,285000.0,3.0,2.5,194.16727,1006.511102,1.0,0,4,126.34808,67.81919,1987,1987,Federal Way,USA
2014-05-02,615000.0,3.0,1.75,219.25108,677.355773,1.0,0,4,126.34808,92.903,1948,1948,Seattle,USA
2014-05-02,698000.0,4.0,2.25,204.3866,1045.15875,1.5,0,5,120.7739,83.6127,1920,1920,Kirkland,USA
2014-05-02,675000.0,5.0,2.5,261.98646,6272.624754,2.0,0,3,261.98646,0.0,1979,2014,Issaquah,USA
2014-05-02,790000.0,3.0,2.5,241.5478,441.28925,1.0,0,4,157.9351,83.6127,1951,1999,Seattle,USA
2014-05-02,382500.0,4.0,1.75,144.92868,808.2561,1.0,0,4,144.92868,0.0,1967,1967,Kirkland,USA
2014-05-02,499950.0,4.0,2.5,265.70258,310.760535,2.0,0,3,203.45757,62.24501,2004,2003,Woodinville,USA
2014-05-02,650000.0,4.0,2.0,169.08346,464.515,1.5,0,3,152.36092,16.72254,1945,2010,Seattle,USA
2014-05-02,625000.0,4.0,2.5,261.98646,781.128424,2.0,0,3,261.98646,0.0,2014,2014,Shoreline,USA
2014-05-02,400000.0,4.0,2.5,337.23789,3984.052252,1.5,0,3,213.6769,123.56099,1979,2014,Auburn,USA
2014-05-02,604000.0,3.0,2.5,301.00572,3079.827353,2.0,0,3,301.00572,0.0,1995,1995,Federal Way,USA
2014-05-02,440000.0,2.0,1.0,74.3224,450.57955,1.0,0,4,74.3224,0.0,1944,1944,Seattle,USA
2014-05-02,287200.0,3.0,3.0,171.87055,1854.901298,1.0,0,4,101.26427,70.60628,1992,1992,Maple Valley,USA
2014-05-02,403000.0,3.0,2.0,182.08988,1217.0293,1.0,0,5,153.28995,28.79993,1957,1957,Normandy Park,USA
2014-05-02,750000.0,3.0,2.5,222.03817,608.51465,1.0,0,4,133.78032,88.25785,1955,2009,Seattle,USA
2014-05-02,335000.0,3.0,2.25,146.78674,1506.422145,1.0,0,4,146.78674,0.0,1978,2000,Fall City,USA
2014-05-02,260000.0,4.0,2.0,137.49644,801.288375,1.0,0,4,137.49644,0.0,1974,1974,Renton,USA
2014-05-02,308500.0,2.0,1.0,78.96755,573.583122,1.0,0,4,78.96755,0.0,1950,1983,Shoreline,USA
2014-05-02,439950.0,3.0,2.5,164.43831,267.096125,2.0,0,3,164.43831,0.0,1990,2009,Seattle,USA
2014-05-02,235000.0,2.0,1.0,112.41263,873.2882,1.0,0,2,112.41263,0.0,1949,1949,Seattle,USA
2014-05-02,315000.0,3.0,1.0,107.76748,852.84954,1.0,0,3,107.76748,0.0,1968,1997,Woodinville,USA
2014-05-02,437500.0,3.0,2.25,183.01891,3260.8953,2.0,0,4,183.01891,0.0,1977,1977,Issaquah,USA
2014-05-02,407500.0,3.0,2.5,179.30279,971.76538,2.0,0,3,179.30279,0.0,1996,1996,Renton,USA
2014-05-02,445700.0,3.0,2.5,117.98681,109.62554,3.0,0,3,117.98681,0.0,2001,2001,Seattle,USA
2014-05-02,838000.0,4.0,2.5,307.50893,3994.643194,2.0,0,3,307.50893,0.0,2001,2001,Redmond,USA
2014-05-02,630000.0,4.0,2.75,251.76713,3463.145131,2.0,0,3,251.76713,0.0,2000,2000,Issaquah,USA
2014-05-02,550000.0,3.0,1.75,270.34773,3270.1856,1.5,0,3,270.34773,0.0,1979,2014,Sammamish,USA
2014-05-02,805000.0,3.0,2.0,251.76713,418.0635,1.5,0,4,174.65764,77.10949,1929,1929,Seattle,USA
2014-05-02,284000.0,3.0,1.75,167.2254,2146.338009,1.0,0,3,167.2254,0.0,1968,1997,Carnation,USA
2014-05-02,470000.0,5.0,2.5,205.31563,896.978465,1.0,0,3,135.63838,69.67725,1976,1976,Bothell,USA
2014-05-02,430000.0,4.0,1.5,178.37376,929.03,1.0,0,4,99.40621,78.96755,1954,1979,Bellevue,USA
2014-05-02,491500.0,4.0,1.75,203.45757,11654.867156,1.0,0,3,203.45757,0.0,1968,1997,Auburn,USA
2014-05-02,785000.0,5.0,3.25,340.02498,1114.371485,2.0,0,3,340.02498,0.0,2006,2006,Snoqualmie,USA
2014-05-02,385000.0,3.0,3.25,122.63196,123.282281,2.0,0,3,96.61912,26.01284,2008,2008,Seattle,USA
2014-05-02,295000.0,2.0,2.5,151.43189,127.091304,2.0,0,3,118.91584,32.51605,2009,2009,Seattle,USA
2014-05-02,555000.0,4.0,2.5,307.50893,603.8695,2.0,0,3,307.50893,0.0,2012,1912,Snoqualmie,USA
2014-05-02,459990.0,3.0,2.5,248.98004,514.589717,2.0,0,3,248.98004,0.0,2013,1923,North Bend,USA
2014-05-02,625000.0,4.0,3.25,253.62519,5018.062642,1.0,0,3,144.92868,108.69651,2007,2007,Renton,USA
2014-05-02,300000.0,3.0,2.5,235.97362,469.16015,2.0,0,3,235.97362,0.0,2006,2006,Kent,USA
2014-05-03,625000.0,4.0,2.75,271.27676,613.624315,2.0,0,3,271.27676,0.0,2012,1912,Renton,USA
2014-05-03,553000.0,2.0,1.0,83.6127,464.515,1.0,0,3,83.6127,0.0,1944,1944,Seattle,USA
2014-05-03,379880.0,3.0,2.5,153.28995,1305.658762,1.0,0,4,104.98039,48.30956,1986,1986,Issaquah,USA
2014-05-03,310000.0,3.0,1.0,93.83203,923.920335,1.0,0,4,93.83203,0.0,1973,1973,Snoqualmie,USA
2014-05-04,775000.0,2.0,2.5,248.98004,686.738976,1.0,0,3,248.98004,0.0,2004,2003,Redmond,USA
2014-05-04,365000.0,3.0,2.5,204.3866,682.83705,1.0,0,5,145.85771,58.52889,1988,1988,Renton,USA
2014-05-04,331950.0,4.0,2.5,235.04459,922.805499,2.0,0,3,186.73503,48.30956,1990,2009,Auburn,USA
2014-05-04,783500.0,3.0,2.5,264.77355,662.39839,2.0,0,3,184.87697,79.89658,1980,1980,Seattle,USA
2014-05-04,628000.0,4.0,2.0,211.81884,558.34703,1.0,0,3,105.90942,105.90942,1900,2005,Seattle,USA
2014-05-05,560000.0,3.0,2.5,176.5157,812.343832,2.0,0,3,176.5157,0.0,1987,2000,Sammamish,USA
2014-05-05,900000.0,3.0,1.0,123.56099,7243.832716,1.0,0,3,123.56099,0.0,1928,1954,Kirkland,USA
2014-05-05,531000.0,2.0,3.0,117.98681,109.161025,2.0,0,3,103.12233,14.86448,2000,2000,Seattle,USA
2014-05-05,831000.0,4.0,3.0,201.59951,371.612,2.0,0,4,149.57383,52.02568,1982,2011,Seattle,USA
2014-05-05,780000.0,4.0,2.5,253.62519,955.135743,2.0,0,3,253.62519,0.0,1996,1996,Sammamish,USA
2014-05-05,755000.0,4.0,2.5,196.95436,947.796406,1.0,0,4,150.50286,46.4515,1960,2001,Bellevue,USA
2014-05-05,705380.0,3.0,2.5,231.32847,403.477729,2.0,0,3,231.32847,0.0,2003,2003,Issaquah,USA
2014-05-05,627000.0,4.0,2.25,184.87697,716.467936,1.0,0,3,112.41263,72.46433999999999,1973,2013,Issaquah,USA
2014-05-05,865000.0,4.0,3.0,342.81207,918.996476,2.0,0,3,342.81207,0.0,1998,2006,Sammamish,USA
2014-05-05,580000.0,2.0,1.0,235.97362,650.321,1.0,0,5,122.63196,113.34166,1942,1942,Seattle,USA
2014-05-05,410000.0,3.0,2.25,167.2254,3409.911712,1.0,0,4,126.34808,40.87732,1978,2000,Issaquah,USA
2014-05-05,485000.0,4.0,3.0,217.39302,654.780344,1.0,0,4,124.49002,92.903,1979,1979,Kirkland,USA
2014-05-05,400000.0,2.0,1.75,196.02533,884.343657,1.0,0,2,196.02533,0.0,1948,1948,Shoreline,USA
2014-05-05,549000.0,2.0,1.0,105.90942,501.6762,1.0,0,5,105.90942,0.0,1908,1908,Seattle,USA
2014-05-05,620000.0,3.0,1.75,137.49644,202.993055,2.5,0,3,137.49644,0.0,2005,2005,Kirkland,USA
2014-05-05,405000.0,2.0,3.0,130.99323,115.19972,2.0,0,3,105.90942,25.08381,2006,2006,Seattle,USA
2014-05-05,232000.0,2.0,1.0,111.4836,749.076889,1.0,0,4,111.4836,0.0,1958,1972,Des Moines,USA
2014-05-05,800866.0,5.0,2.5,295.43154,1282.618818,2.0,0,4,295.43154,0.0,1990,1990,Kirkland,USA
2014-05-05,650000.0,3.0,1.5,200.67048,836.127,1.0,0,4,130.0642,70.60628,1949,1985,Seattle,USA
